1pc. Chicken McDo with Sundae,NA,115,125,130
1pc. Chicken McDo with McFloat,NA,,105,
1pc. Chicken McDo with Rice and Fries,NA,105,125,142
Chicken Fillet Ala King with Fries,NA,90,110,127
1pc. Chicken McDo,83,89,99,104
6pc. McNuggets with Fries,NA,145,165,182
Chicken Fillet Ala King,57,60,70,75
Crispy Chicken Fillet with Rice,57,60,70,75
Crispy Chicken Fillet w/ Rice & Fries,NA,90,110,127
Crispy Chicken Sandwich,NA,90,110,127
McSpaghetti,55,60,70,75
10pc. Chicken McNuggets,167,NA,NA,NA
6pc. Chicken McNuggets,110,NA,NA,NA
Upgrade to Medium Fries,NA,20,NA,NA
Upgrade to Large Fries,NA,30,14,NA
Upgrade to Twister Fries,NA,29,20,10
Upgrade to Medium Soda,NA,10,NA,NA
Upgrade to Large Soda,NA,15,5,NA
Upgrade to McCafe Coffee Float,NA,19,13,11
Upgrade to Iced Premium Roast Coffee Vanilla,NA,15,15,NA
Upgrade to Iced Premium Roast Coffee Plain,NA,12,7,NA
Upgrade to Medium Coke McFloat,NA,20,20,NA
Upgrade to Large Coke McFloat,NA,25,25,25
Upgrade to Medium Green Apple Sprite McFloat,NA,20,20,20
Upgrade to Large Green Apple Sprite McFloat,NA,25,25,25
Upgrade to Regular Juice,NA,7,NA,NA
Upgrade to Medium Juice,NA,17,7,NA
Upgrade to Large Juice,NA,22,NA,5
