1,Garlic Parmesan McSpicy,100,139,159,179,N/A
2,McSpicy,100,139,159,179,N/A
3,Cheesy Burger McDo,46,89,109,126,N/A
4,Double Cheese Burger,107,142,162,179,double_cheese_burger_meal
5,Big Mac,143,173,193,210,big_mac_meal
6,Quarter Pounder with Cheese,143,173,193,210,quarter_pounder_meal
7,McChicken Sandwich,105,135,155,172,mcchicken_meal
8,Fillet-O-Fish,105,135,155,172,fillet_o_fish_meal
9,Cheese Burger Deluxe,82,113,133,150,N/A
10,Cheese Burger,52,95,115,132,cheese_burger_meal
11,Burger McDo,36,82,102,119,burger_mcdo_meal
12,Crispy Chicken Sandwich,N/A,90,110,127,crispy_chicken_sandwich_meal
