1pc. Chicken McDo with Mushroom Soup,102,115,125,130
2pc. Chicken McDo,149,159,169,174
1pc. Chicken McDo with McSpaghetti,109,119,129,134
6pc. McNuggets with Rice,NA,139,149,154
Upgrade to Medium Soda,NA,10,NA,NA
Upgrade to Large Soda,NA,17,5,NA
Upgrade to McCafe Coffee Float,NA,25,13,11
Upgrade to Iced Premium Roast Coffee Vanilla,NA,15,15,NA
Upgrade to Iced Premium Roast Coffee Plain,NA,15,7,NA
Upgrade to Medium Coke McFloat,NA,20,20,NA
Upgrade to Large Coke McFloat,NA,25,25,25
Upgrade to Medium Green Apple Sprite McFloat,NA,NA,20,20
Upgrade to Large Green Apple Sprite McFloat,NA,NA,25,25
Upgrade to Regular Juice,NA,7,NA,NA
Upgrade to Medium Juice,NA,17,7,NA
Upgrade to Large Juice,NA,22,NA,5
